SpeciesName	NCBI_TaxID	accession	author	journal	gene	country
Rhinolophus cf. lepidus	1001579	AEA35734	Kruskop S.V., Eger J.L., Lim B.K., Engstrom M.D., Francis C.M., Guillen Servent A., Ivanova N.V., Borisenko A.V.	Unpublished.	COI	Viet Nam:Lam Dong, Lac Duong district, Da Nim river valley, 5 km NE from Long Lanh
Rhinolophus cf. lepidus	1001579	AEA35735	Kruskop S.V., Eger J.L., Lim B.K., Engstrom M.D., Francis C.M., Guillen Servent A., Ivanova N.V., Borisenko A.V.	Unpublished.	COI	Viet Nam:Lam Dong, Lac Duong district, Da Nim river valley, 5 km NE from Long Lanh
Rhinolophus cf. lepidus	1001579	AEA35736	Kruskop S.V., Eger J.L., Lim B.K., Engstrom M.D., Francis C.M., Guillen Servent A., Ivanova N.V., Borisenko A.V.	Unpublished.	COI	Viet Nam:Lam Dong, Lac Duong district, Da Nim river valley, 5 km NE from Long Lanh
Rhinolophus sp. JMW-2004a	271464	AAS91402	Worthington Wilmer J.M., Schneider C.J., Sorenson M.D.	Unpublished.	ND2	NaN
Rhinolophus sp. JMW-2004b	271465	AAS91403	Worthington Wilmer J.M., Schneider C.J., Sorenson M.D.	Unpublished.	ND2	NaN
Rhinolophus sp. 2 KS-2008	519449	ACC78309	Sun K., Feng J., Zhang Z., Xu L., Liu Y.	Mammalia 73:135-141(2009).	cytb	China:Yunnan
Rhinolophus chiewkweeae	2510767	QAY30069	Morni M.A., Ahmad Tahir N.F.D., Rosli Q.S., William Dee J., Azhar I., Roslan A., Zahidin M.A., Abdullah M.T., Anwarali Khan F.A.	Raffles Bull. Zool. 64:242-249(2016).	COI	Malaysia
Rhinolophus chiewkweeae	2510767	QAY30070	Morni M.A., Ahmad Tahir N.F.D., Rosli Q.S., William Dee J., Azhar I., Roslan A., Zahidin M.A., Abdullah M.T., Anwarali Khan F.A.	Raffles Bull. Zool. 64:242-249(2016).	COI	Malaysia
Rhinolophus chiewkweeae	2510767	QAY30071	Morni M.A., Ahmad Tahir N.F.D., Rosli Q.S., William Dee J., Azhar I., Roslan A., Zahidin M.A., Abdullah M.T., Anwarali Khan F.A.	Raffles Bull. Zool. 64:242-249(2016).	COI	Malaysia
Rhinolophus sp. 1 KS-2008	519447	ACC78304	Sun K., Feng J., Zhang Z., Xu L., Liu Y.	Mammalia 73:135-141(2009).	cytb	China:Yunnan
