SpeciesName	NCBI_TaxID	accession
Rhinolophus cf. lepidus	1001579	AEA35734
Rhinolophus cf. lepidus	1001579	AEA35735
Rhinolophus cf. lepidus	1001579	AEA35736
Rhinolophus sp. JMW-2004a	271464	AAS91402
Rhinolophus sp. JMW-2004b	271465	AAS91403
Rhinolophus sp. 2 KS-2008	519449	ACC78309
Rhinolophus chiewkweeae	2510767	QAY30069
Rhinolophus chiewkweeae	2510767	QAY30070
Rhinolophus chiewkweeae	2510767	QAY30071
Rhinolophus sp. 1 KS-2008	519447	ACC78304
Rhinolophus osgoodi	479722	ABW87879
Rhinolophus osgoodi	479722	QDK54456
Rhinolophus osgoodi	479722	QDK54458
Rhinolophus osgoodi	479722	QDK54460
Rhinolophus osgoodi	479722	QDK54461
Rhinolophus osgoodi	479722	QDK54462
Rhinolophus osgoodi	479722	QDK54463
Rhinolophus osgoodi	479722	QDK54466
Rhinolophus osgoodi	479722	QDK54468
Rhinolophus osgoodi	479722	QDK54469
Rhinolophus osgoodi	479722	QDK54470
Rhinolophus osgoodi	479722	QDK54471
Rhinolophus osgoodi	479722	QDK54472
Rhinolophus osgoodi	479722	QDK54473
Rhinolophus osgoodi	479722	QDK54479
Rhinolophus osgoodi	479722	QDK54480
Rhinolophus osgoodi	479722	QDK54481
Rhinolophus osgoodi	479722	QDK54482
Rhinolophus osgoodi	479722	QDK54483
Rhinolophus osgoodi	479722	QDK54484
Rhinolophus osgoodi	479722	QDK54485
Rhinolophus osgoodi	479722	QDK54486
Rhinolophus osgoodi	479722	QDK54487
Rhinolophus osgoodi	479722	QDK54496
Rhinolophus osgoodi	479722	QDK54497
Rhinolophus osgoodi	479722	QDK54498
Rhinolophus osgoodi	479722	QDK54499
Rhinolophus osgoodi	479722	QDK54500
Rhinolophus osgoodi	479722	QDK54501
Rhinolophus osgoodi	479722	QDK54502
Rhinolophus osgoodi	479722	QDK54503
Rhinolophus osgoodi	479722	QDK54504
Rhinolophus osgoodi	479722	QDK54505
Rhinolophus osgoodi	479722	QDK54506
Rhinolophus osgoodi	479722	QDK54507
Rhinolophus osgoodi	479722	QDK54513
Rhinolophus osgoodi	479722	QDK54514
Rhinolophus osgoodi	479722	QDK54515
Rhinolophus osgoodi	479722	QDK54516
Rhinolophus osgoodi	479722	QDK54517
Rhinolophus osgoodi	479722	QDK54518
Rhinolophus osgoodi	479722	QDK54519
Rhinolophus osgoodi	479722	QDK54520
Rhinolophus osgoodi	479722	QDK54521
Rhinolophus osgoodi	479722	QDK54522
Rhinolophus osgoodi	479722	QDK54523
Rhinolophus osgoodi	479722	QDK54524
Rhinolophus osgoodi	479722	QDK54525
Rhinolophus osgoodi	479722	QDK54526
Rhinolophus osgoodi	479722	QDK54570
Rhinolophus osgoodi	479722	QDK54572
Rhinolophus osgoodi	479722	QDK54576
Rhinolophus osgoodi	479722	QDK54577
Rhinolophus osgoodi	479722	QDK54578
Rhinolophus osgoodi	479722	QDK54579
Rhinolophus osgoodi	479722	QDK54584
Rhinolophus osgoodi	479722	QDK54587
Rhinolophus osgoodi	479722	QDK54588
Rhinolophus osgoodi	479722	QDK54589
Rhinolophus osgoodi	479722	QDK54591
Rhinolophus osgoodi	479722	QDK54592
Rhinolophus osgoodi	479722	QDK54593
Rhinolophus osgoodi	479722	QDK54616
Rhinolophus osgoodi	479722	QDK54623
Rhinolophus osgoodi	479722	QDK54624
Rhinolophus osgoodi	479722	QDK54625
Rhinolophus osgoodi	479722	QDK54626
Rhinolophus osgoodi	479722	QDK54627
Rhinolophus osgoodi	479722	QDK54628
Rhinolophus osgoodi	479722	QDK54629
Rhinolophus osgoodi	479722	QDK54630
Rhinolophus osgoodi	479722	QDK54637
Rhinolophus osgoodi	479722	QDK54638
Rhinolophus osgoodi	479722	QDK54639
Rhinolophus osgoodi	479722	QDK54640
Rhinolophus osgoodi	479722	QDK54641
Rhinolophus osgoodi	479722	QDK54642
Rhinolophus osgoodi	479722	QDK54643
Rhinolophus osgoodi	479722	QDK54644
Rhinolophus osgoodi	479722	QDK54645
Rhinolophus osgoodi	479722	QDK54646
Rhinolophus osgoodi	479722	QDK54647
Rhinolophus osgoodi	479722	QDK54648
Rhinolophus osgoodi	479722	QDK54659
Rhinolophus osgoodi	479722	QDK54660
Rhinolophus osgoodi	479722	QDK54661
Rhinolophus osgoodi	479722	QDK54662
Rhinolophus osgoodi	479722	QDK54663
Rhinolophus osgoodi	479722	QDK54664
Rhinolophus osgoodi	479722	QDK54665
Rhinolophus osgoodi	479722	QDK54666
Rhinolophus osgoodi	479722	QDK54667
Rhinolophus osgoodi	479722	QDK54668
Rhinolophus osgoodi	479722	QDK54669
Rhinolophus osgoodi	479722	QDK54670
Rhinolophus osgoodi	479722	QDK54671
Rhinolophus osgoodi	479722	QDK54672
Rhinolophus cf. subrufus MGP0605	2528454	
Rhinolophus cf. philippinensis AMF0074	2528453	
Rhinolophus cf. inops MRMD1818	2528452	
Rhinolophus cf. subrufus AMF0068	2528451	
Rhinolophus cf. subrufus DMP124	2528450	
Rhinolophus beddomei	556920	ACL01252
Rhinolophus beddomei	556920	ADQ51481
Rhinolophus beddomei	556920	AXJ21509
Rhinolophus subrufus/arcuatus	1078826	AET43804
Rhinolophus inops/subrufus	1078825	AET43796
Rhinolophus inops/subrufus	1078825	AET43797
Rhinolophus inops/subrufus	1078825	AET43802
Rhinolophus macrotis	196889	AAO15591
Rhinolophus macrotis	196889	ABP93377
Rhinolophus macrotis	196889	ABP93378
Rhinolophus macrotis	196889	ABW74520
Rhinolophus macrotis	196889	ABW74521
Rhinolophus macrotis	196889	ABW74522
Rhinolophus macrotis	196889	ABW74523
Rhinolophus macrotis	196889	ABW74524
Rhinolophus macrotis	196889	ABW74525
Rhinolophus macrotis	196889	ABW74526
Rhinolophus macrotis	196889	ABW87878
Rhinolophus macrotis	196889	ABY67137
Rhinolophus macrotis	196889	ACC78324
Rhinolophus macrotis	196889	ACO48465
Rhinolophus macrotis	196889	ACQ99572
Rhinolophus macrotis	196889	ACU31028
Rhinolophus macrotis	196889	ADB97935
Rhinolophus macrotis	196889	ADN93471
Rhinolophus macrotis	196889	ADQ51658
Rhinolophus macrotis	196889	ADQ51659
Rhinolophus macrotis	196889	ADQ51660
Rhinolophus macrotis	196889	ADQ51661
Rhinolophus macrotis	196889	ADQ51662
Rhinolophus macrotis	196889	ADQ51663
Rhinolophus macrotis	196889	ADQ51664
Rhinolophus macrotis	196889	ADQ51665
Rhinolophus macrotis	196889	ADQ51666
Rhinolophus macrotis	196889	ADQ51667
Rhinolophus macrotis	196889	ADQ51668
Rhinolophus macrotis	196889	ADU79130
Rhinolophus macrotis	196889	AEA35740
Rhinolophus macrotis	196889	AEA35741
Rhinolophus macrotis	196889	AEA35742
Rhinolophus macrotis	196889	AET43769
Rhinolophus macrotis	196889	AEV12210
Rhinolophus macrotis	196889	AFD11063
Rhinolophus macrotis	196889	AFH77909
Rhinolophus macrotis	196889	AFJ05189
Rhinolophus macrotis	196889	AFJ05196
Rhinolophus macrotis	196889	AFJ54392
Rhinolophus macrotis	196889	AFJ54400
Rhinolophus macrotis	196889	AFJ54421
Rhinolophus macrotis	196889	AFJ54442
Rhinolophus macrotis	196889	AFJ54460
Rhinolophus macrotis	196889	AFJ54473
Rhinolophus macrotis	196889	AFJ54481
Rhinolophus macrotis	196889	AFJ54498
Rhinolophus macrotis	196889	AFJ54516
Rhinolophus macrotis	196889	AFJ54523
Rhinolophus macrotis	196889	AFJ54551
Rhinolophus macrotis	196889	AFJ54592
Rhinolophus macrotis	196889	AFJ72210
Rhinolophus macrotis	196889	AFJ72233
Rhinolophus macrotis	196889	AFJ72249
Rhinolophus macrotis	196889	AFJ72291
Rhinolophus macrotis	196889	AFJ72357
Rhinolophus macrotis	196889	AFJ72396
Rhinolophus macrotis	196889	AFJ72406
Rhinolophus macrotis	196889	AFJ72422
Rhinolophus macrotis	196889	AFJ72441
Rhinolophus macrotis	196889	AFJ72465
Rhinolophus macrotis	196889	AFJ72492
Rhinolophus macrotis	196889	AFJ72515
Rhinolophus macrotis	196889	AFJ72534
Rhinolophus macrotis	196889	AFJ72574
Rhinolophus macrotis	196889	AFJ72617
Rhinolophus macrotis	196889	AFJ72649
Rhinolophus macrotis	196889	AFJ72725
Rhinolophus macrotis	196889	AFJ72766
Rhinolophus macrotis	196889	AFJ72788
Rhinolophus macrotis	196889	AFJ72809
Rhinolophus macrotis	196889	AFJ72828
Rhinolophus macrotis	196889	AFJ72868
Rhinolophus macrotis	196889	AFJ91687
Rhinolophus macrotis	196889	AFL02778
Rhinolophus macrotis	196889	AFY05632
Rhinolophus macrotis	196889	AGB85130
Rhinolophus macrotis	196889	AGH55980
Rhinolophus macrotis	196889	AGI62301
Rhinolophus macrotis	196889	AHG29550
Rhinolophus macrotis	196889	AHG29551
Rhinolophus macrotis	196889	AJF41145
Rhinolophus macrotis	196889	AJF41168
Rhinolophus macrotis	196889	AJF41181
Rhinolophus macrotis	196889	AJF41197
Rhinolophus macrotis	196889	AJF41205
Rhinolophus macrotis	196889	AJF41220
Rhinolophus macrotis	196889	AJF41235
Rhinolophus macrotis	196889	AJF41871
Rhinolophus macrotis	196889	AJF41872
Rhinolophus macrotis	196889	AJF41873
Rhinolophus macrotis	196889	AJF41874
Rhinolophus macrotis	196889	AJF41875
Rhinolophus macrotis	196889	AJF41876
Rhinolophus macrotis	196889	AJF41877
Rhinolophus macrotis	196889	AJF41878
Rhinolophus macrotis	196889	AJF41879
Rhinolophus macrotis	196889	AJF41880
Rhinolophus macrotis	196889	AJF41881
Rhinolophus macrotis	196889	AJF41882
Rhinolophus macrotis	196889	AJF41883
Rhinolophus macrotis	196889	AMH40340
Rhinolophus macrotis	196889	AMH40341
Rhinolophus macrotis	196889	AMH40342
Rhinolophus macrotis	196889	AOY38590
Rhinolophus macrotis	196889	AOY38591
Rhinolophus macrotis	196889	AOY38592
Rhinolophus macrotis	196889	AOY38593
Rhinolophus macrotis	196889	AOY38594
Rhinolophus macrotis	196889	AOY38595
Rhinolophus macrotis	196889	AOY38596
Rhinolophus macrotis	196889	AOY38597
Rhinolophus macrotis	196889	AOY38598
Rhinolophus macrotis	196889	AOY38599
Rhinolophus macrotis	196889	AOY38600
Rhinolophus macrotis	196889	AOY38601
Rhinolophus macrotis	196889	AOY38602
Rhinolophus macrotis	196889	AOY38603
Rhinolophus macrotis	196889	AOY38604
Rhinolophus macrotis	196889	AOY38605
Rhinolophus macrotis	196889	AOY38606
Rhinolophus macrotis	196889	AOY38607
Rhinolophus macrotis	196889	AOY38608
Rhinolophus macrotis	196889	AOY38609
Rhinolophus macrotis	196889	AOY38610
Rhinolophus macrotis	196889	AOY38611
Rhinolophus macrotis	196889	AOY38612
Rhinolophus macrotis	196889	AOY38613
Rhinolophus macrotis	196889	AOY38614
Rhinolophus macrotis	196889	AOY38615
Rhinolophus macrotis	196889	AOY38616
Rhinolophus macrotis	196889	AOY38617
Rhinolophus macrotis	196889	AOY38618
Rhinolophus macrotis	196889	AQA26652
Rhinolophus macrotis	196889	AXQ04216
Rhinolophus macrotis	196889	AXQ04219
Rhinolophus macrotis	196889	AXQ04222
Rhinolophus macrotis	196889	AXQ04223
Rhinolophus macrotis	196889	AXQ04224
Rhinolophus macrotis	196889	AXQ04225
Rhinolophus macrotis	196889	AXQ04226
Rhinolophus macrotis	196889	AXQ04227
Rhinolophus macrotis	196889	AXQ04228
Rhinolophus macrotis	196889	AXQ04229
Rhinolophus macrotis	196889	AXQ04230
Rhinolophus macrotis	196889	AXQ04256
Rhinolophus macrotis	196889	AXQ04257
Rhinolophus macrotis	196889	AXQ04258
Rhinolophus macrotis	196889	AXQ04259
Rhinolophus macrotis	196889	AXQ04260
Rhinolophus macrotis	196889	AXQ04261
Rhinolophus macrotis	196889	AXQ04262
Rhinolophus macrotis	196889	AXQ04263
Rhinolophus macrotis	196889	AXQ04264
Rhinolophus macrotis	196889	AXQ04265
Rhinolophus macrotis	196889	AXQ04266
Rhinolophus macrotis	196889	AXQ04267
Rhinolophus macrotis	196889	AXQ04268
Rhinolophus macrotis	196889	AXQ04269
Rhinolophus macrotis	196889	AXQ04290
Rhinolophus macrotis	196889	AXQ04291
Rhinolophus macrotis	196889	AXQ04300
Rhinolophus macrotis	196889	AXQ04301
Rhinolophus macrotis	196889	AXQ04302
Rhinolophus macrotis	196889	AXQ04303
Rhinolophus macrotis	196889	AXQ04304
Rhinolophus macrotis	196889	AXQ04305
Rhinolophus macrotis	196889	AXQ04306
Rhinolophus macrotis	196889	AXQ04307
Rhinolophus macrotis	196889	AXQ04308
Rhinolophus macrotis	196889	AXQ04309
Rhinolophus macrotis	196889	AXQ04310
Rhinolophus macrotis	196889	AXQ04311
Rhinolophus macrotis	196889	AXQ04312
Rhinolophus macrotis	196889	AXQ04313
Rhinolophus macrotis	196889	AXQ04314
Rhinolophus macrotis	196889	AXQ04315
Rhinolophus macrotis	196889	AXQ04316
Rhinolophus macrotis	196889	AXQ04317
Rhinolophus macrotis	196889	AXQ04318
Rhinolophus macrotis	196889	AXQ04319
Rhinolophus macrotis	196889	AXQ04320
Rhinolophus macrotis	196889	AXQ04321
Rhinolophus macrotis	196889	AXQ04322
Rhinolophus macrotis	196889	AXQ04389
Rhinolophus macrotis	196889	AXQ04390
Rhinolophus macrotis	196889	AXQ04391
Rhinolophus macrotis	196889	AXQ04392
Rhinolophus macrotis	196889	AXQ04393
Rhinolophus macrotis	196889	AXQ04395
Rhinolophus macrotis	196889	AXQ04396
Rhinolophus macrotis	196889	AXQ04397
Rhinolophus macrotis	196889	AXQ04398
Rhinolophus macrotis	196889	AXQ04412
Rhinolophus macrotis	196889	AXQ04422
Rhinolophus macrotis	196889	AXQ04427
Rhinolophus macrotis	196889	AXQ04428
Rhinolophus macrotis	196889	AXQ04429
Rhinolophus macrotis	196889	AXQ04430
Rhinolophus macrotis	196889	AXQ04431
Rhinolophus macrotis	196889	AXQ04432
Rhinolophus macrotis	196889	AXQ04433
Rhinolophus macrotis	196889	AXQ04434
Rhinolophus macrotis	196889	AXQ04435
Rhinolophus macrotis	196889	AXQ04460
Rhinolophus macrotis	196889	AXQ04461
Rhinolophus macrotis	196889	AXQ04462
Rhinolophus macrotis	196889	AXQ04463
Rhinolophus macrotis	196889	AXQ04464
Rhinolophus macrotis	196889	AXQ04482
Rhinolophus macrotis	196889	AXQ04501
Rhinolophus macrotis	196889	AXQ04506
Rhinolophus macrotis	196889	AXQ04508
Rhinolophus macrotis	196889	AXQ04509
